timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb,update_ms_mean,update_ms_p95,traj_frames,traj_format,traj_lazy,update_first_ms_mean,update_first_n,update_cached_ms_mean,update_cached_n,crd_send_ms_mean,crd_send_ms_p95,tex_upload_ms_mean,tex_upload_ms_p95,alloc_mb_per_frame,transfer_clock,frame_ms_p95_cpu,gpu_ms_p95,label,git_sha,patch_sha256,addon_path,gpu,gl_version,platform
2026-09-24T16:43:20.520Z,1aon-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,58870,59.991,59.991,360,360,16.615,16.7,18.2,18.6,0.594,4.202,2037.6,46.019,1,4,6,528,1,545.915,0.272,0.5,,,,,,,,0.351,0.512,0.099,0.13,0,"steady_clock",0.8,4.32,"D-r1","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:43:32.107Z,1aon-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,58870,59.974,0,360,360,16.621,16.7,18.2,18.7,0.31,4.254,781.1,42.019,1,4,6,528,1,310.378,,,,,,,,,,,,,,0,"steady_clock",0.4,4.373,"D-r1","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:43:43.195Z,1crn-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,327,59.972,59.972,360,360,16.617,16.7,18.1,18.5,0.282,0.842,276.8,46.019,1,4,6,528,1,250.855,0.122,0.2,,,,,,,,0.053,0.079,0.024,0.032,0,"steady_clock",0.4,0.878,"D-r1","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:43:54.252Z,1crn-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,327,59.98,0,360,360,16.62,16.7,18.4,18.5,0.27,0.833,264.2,42.019,1,4,6,528,1,225.87,,,,,,,,,,,,,,0,"steady_clock",0.4,0.882,"D-r1","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:45:10.200Z,3j3q-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,2440800,58.294,58.294,583,583,17.123,16.7,20.8,27.4,8.956,20.515,56224.9,46.012,1,4,6,528,1,4347.691,2.46,3.1,,,,,,,,8.826,17.204,6.673,14.711,0,"steady_clock",17.3,25.105,"D-r1","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:45:51.826Z,3j3q-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,2440800,59.99,0,600,600,16.641,16.7,17.6,18.5,0.031,17.298,15288.6,42.012,1,4,6,528,1,3261.661,,,,,,,,,,,,,,0,"steady_clock",0.1,19.098,"D-r1","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:46:11.036Z,4hhb-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,4779,59.987,59.987,360,360,16.624,16.7,18.2,18.6,0.335,1.589,400.1,46.019,1,4,6,528,1,274.153,0.138,0.2,,,,,,,,0.079,0.105,0.03,0.041,0,"steady_clock",0.5,1.626,"D-r1","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:46:22.133Z,4hhb-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,4779,60.164,0,361,361,16.619,16.7,18.2,18.5,0.277,1.589,295.1,42.019,1,4,6,528,1,232.096,,,,,,,,,,,,,,0,"steady_clock",0.4,1.63,"D-r1","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:46:41.644Z,4v6x-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,237685,59.969,59.969,360,360,16.626,16.7,18.2,18.7,1.027,8.436,8671.9,46.019,1,4,6,528,1,1378.714,0.549,0.7,,,,,,,,0.846,0.993,0.198,0.252,0,"steady_clock",1.3,8.887,"D-r1","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:46:52.513Z,4v6x-cpk-idle,0,1832,1010,2,idle,cpk,237685,59.988,0,240,0,16.597,16.7,18.2,18.5,0.037,0,2582.4,0.029,0,0,0,0,0,537.1,,,,,,,,,,,,,,0,"steady_clock",0.1,0,"D-r1","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:47:05.949Z,4v6x-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,237685,59.985,0,360,360,16.619,16.7,18.3,18.5,0.346,8.503,2582.2,42.019,1,4,6,528,1,537.526,,,,,,,,,,,,,,0,"steady_clock",0.5,8.861,"D-r1","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
