timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb,update_ms_mean,update_ms_p95,traj_frames,traj_format,traj_lazy,update_first_ms_mean,update_first_n,update_cached_ms_mean,update_cached_n,crd_send_ms_mean,crd_send_ms_p95,tex_upload_ms_mean,tex_upload_ms_p95,alloc_mb_per_frame,transfer_clock,frame_ms_p95_cpu,gpu_ms_p95,label,git_sha,patch_sha256,addon_path,gpu,gl_version,platform
2026-09-24T16:47:19.265Z,1aon-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,58870,59.986,59.986,360,360,16.619,16.7,18.3,18.6,0.821,4.207,2067.3,46.019,1,4,6,528,1,612.925,0.286,0.5,,,,,,,,0.554,0.756,0.09,0.119,0,"steady_clock",1.1,4.329,"B-r1","98731d7ea06451c668c5abe7deea211cd94d1cef","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/B/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:47:30.844Z,1aon-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,58870,60.139,0,361,361,16.62,16.7,18.2,18.5,0.368,4.252,779,42.019,1,4,6,528,1,310.985,,,,,,,,,,,,,,0,"steady_clock",0.5,4.355,"B-r1","98731d7ea06451c668c5abe7deea211cd94d1cef","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/B/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:47:41.909Z,1crn-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,327,60.161,60.161,361,361,16.62,16.7,18,18.6,0.306,0.846,277.4,46.019,1,4,6,528,1,256.197,0.112,0.2,,,,,,,,0.079,0.11,0.023,0.032,0,"steady_clock",0.4,0.88,"B-r1","98731d7ea06451c668c5abe7deea211cd94d1cef","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/B/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:47:52.978Z,1crn-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,327,59.989,0,360,360,16.62,16.7,18,18.5,0.306,0.835,265.8,42.019,1,4,6,528,1,225.624,,,,,,,,,,,,,,0,"steady_clock",0.5,0.872,"B-r1","98731d7ea06451c668c5abe7deea211cd94d1cef","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/B/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:49:05.840Z,3j3q-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,2440800,55.087,55.087,551,551,18.089,16.7,27.9,33.3,11.875,20.824,54111.2,46.013,1,4,6,528,1,4306.878,2.429,3.1,,,,,,,,11.661,16.174,6.494,10.541,0,"steady_clock",16.5,25.523,"B-r1","98731d7ea06451c668c5abe7deea211cd94d1cef","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/B/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:49:47.463Z,3j3q-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,2440800,60.085,0,601,601,16.637,16.7,17.9,18.6,0.027,17.315,15278.9,42.012,1,4,6,528,1,3261.415,,,,,,,,,,,,,,0,"steady_clock",0.1,18.894,"B-r1","98731d7ea06451c668c5abe7deea211cd94d1cef","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/B/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:50:06.683Z,4hhb-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,4779,59.988,59.988,360,360,16.615,16.7,18.1,18.6,0.342,1.586,397,46.019,1,4,6,528,1,288.375,0.118,0.2,,,,,,,,0.119,0.171,0.026,0.036,0,"steady_clock",0.5,1.628,"B-r1","98731d7ea06451c668c5abe7deea211cd94d1cef","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/B/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:50:17.764Z,4hhb-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,4779,59.991,0,360,360,16.62,16.7,18.3,18.5,0.276,1.602,294.2,42.019,1,4,6,528,1,232.194,,,,,,,,,,,,,,0,"steady_clock",0.4,1.637,"B-r1","98731d7ea06451c668c5abe7deea211cd94d1cef","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/B/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:50:37.218Z,4v6x-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,237685,59.984,59.984,360,360,16.62,16.7,18,18.6,1.563,7.829,8654.3,46.019,1,4,6,528,1,1383.825,0.507,0.6,,,,,,,,1.378,1.669,0.162,0.232,0,"steady_clock",2,8.837,"B-r1","98731d7ea06451c668c5abe7deea211cd94d1cef","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/B/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:50:48.087Z,4v6x-cpk-idle,0,1832,1010,2,idle,cpk,237685,59.967,0,240,0,16.599,16.7,18.3,18.5,0.039,0,2590.3,0.029,0,0,0,0,0,539.591,,,,,,,,,,,,,,0,"steady_clock",0.1,0,"B-r1","98731d7ea06451c668c5abe7deea211cd94d1cef","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/B/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
