timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb,update_ms_mean,update_ms_p95,traj_frames,traj_format,traj_lazy,update_first_ms_mean,update_first_n,update_cached_ms_mean,update_cached_n,crd_send_ms_mean,crd_send_ms_p95,tex_upload_ms_mean,tex_upload_ms_p95,alloc_mb_per_frame,transfer_clock,frame_ms_p95_cpu,gpu_ms_p95,label,git_sha,patch_sha256,addon_path,gpu,gl_version,platform
2026-09-24T16:51:14.774Z,1aon-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,58870,59.995,59.995,360,360,16.618,16.7,18.2,18.7,0.809,4.211,2059.9,46.019,1,4,6,528,1,613.908,0.286,0.5,,,,,,,,0.553,0.749,0.087,0.111,0,"steady_clock",1.1,4.333,"A-r1","3cfd40c7807e741f20fc2823f391445f3e98b8a4","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/A/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:51:26.336Z,1aon-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,58870,59.981,0,360,360,16.62,16.7,18.4,18.6,0.323,4.25,782.8,42.019,1,4,6,528,1,311.706,,,,,,,,,,,,,,0,"steady_clock",0.5,4.366,"A-r1","3cfd40c7807e741f20fc2823f391445f3e98b8a4","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/A/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:51:37.409Z,1crn-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,327,59.988,59.988,360,360,16.62,16.7,18.2,18.6,0.308,0.833,276.5,46.019,1,4,6,528,1,256.672,0.109,0.2,,,,,,,,0.077,0.111,0.024,0.034,0,"steady_clock",0.4,0.874,"A-r1","3cfd40c7807e741f20fc2823f391445f3e98b8a4","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/A/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:51:48.456Z,1crn-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,327,59.997,0,360,360,16.62,16.7,18.2,18.6,0.282,0.837,265.5,42.019,1,4,6,528,1,225.837,,,,,,,,,,,,,,0,"steady_clock",0.4,0.87,"A-r1","3cfd40c7807e741f20fc2823f391445f3e98b8a4","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/A/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:53:01.390Z,3j3q-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,2440800,36.731,36.731,368,368,27.123,26.8,32,40.3,24.228,24.474,54141.6,46.019,1,4,6,528,1,5044.29,1.902,2.1,,,,,,,,23.982,27.03,19.016,22.004,0,"steady_clock",27.2,28.796,"A-r1","3cfd40c7807e741f20fc2823f391445f3e98b8a4","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/A/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:53:43.040Z,3j3q-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,2440800,59.984,0,600,600,16.64,16.7,17.8,18.5,0.044,17.422,15388.7,42.012,1,4,6,528,1,3260.35,,,,,,,,,,,,,,0,"steady_clock",0.2,19.243,"A-r1","3cfd40c7807e741f20fc2823f391445f3e98b8a4","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/A/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:54:02.259Z,4hhb-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,4779,60.158,60.158,361,361,16.62,16.7,18.1,18.5,0.346,1.571,395.8,46.019,1,4,6,528,1,288.195,0.129,0.2,,,,,,,,0.123,0.18,0.027,0.036,0,"steady_clock",0.5,1.632,"A-r1","3cfd40c7807e741f20fc2823f391445f3e98b8a4","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/A/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:54:13.326Z,4hhb-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,4779,59.975,0,360,360,16.62,16.7,17.9,18.4,0.283,1.601,292.8,42.019,1,4,6,528,1,232.653,,,,,,,,,,,,,,0,"steady_clock",0.4,1.636,"A-r1","3cfd40c7807e741f20fc2823f391445f3e98b8a4","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/A/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:54:32.893Z,4v6x-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,237685,60.143,60.143,361,361,16.619,16.7,18.3,18.6,1.563,8.476,8774.4,46.019,1,4,6,528,1,1443.676,0.514,0.7,,,,,,,,1.381,1.693,0.171,0.239,0,"steady_clock",2,8.832,"A-r1","3cfd40c7807e741f20fc2823f391445f3e98b8a4","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/A/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:54:43.744Z,4v6x-cpk-idle,0,1832,1010,2,idle,cpk,237685,59.981,0,240,0,16.597,16.7,17.9,18.6,0.034,0,2571,0.029,0,0,0,0,0,541.032,,,,,,,,,,,,,,0,"steady_clock",0.1,0,"A-r1","3cfd40c7807e741f20fc2823f391445f3e98b8a4","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/A/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T16:54:57.114Z,4v6x-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,237685,59.973,0,360,360,16.617,16.7,18.3,18.6,0.308,8.488,2580.2,42.019,1,4,6,528,1,541.262,,,,,,,,,,,,,,0,"steady_clock",0.4,8.849,"A-r1","3cfd40c7807e741f20fc2823f391445f3e98b8a4","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/A/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
