timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb,update_ms_mean,update_ms_p95,traj_frames,traj_format,traj_lazy,update_first_ms_mean,update_first_n,update_cached_ms_mean,update_cached_n,crd_send_ms_mean,crd_send_ms_p95,tex_upload_ms_mean,tex_upload_ms_p95,alloc_mb_per_frame,transfer_clock,frame_ms_p95_cpu,gpu_ms_p95,label,git_sha,patch_sha256,addon_path,gpu,gl_version,platform
2026-09-24T17:10:56.730Z,1aon-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,58870,59.991,59.991,360,360,16.62,16.7,18.2,18.5,0.616,4.204,2054.2,46.019,1,4,6,528,1,546.439,0.29,0.5,,,,,,,,0.361,0.511,0.104,0.13,0,"steady_clock",0.9,4.307,"C-r2","18550a45121778c59998985f4b8d05924e572558","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/C/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:11:08.289Z,1aon-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,58870,59.993,0,360,360,16.622,16.7,18.3,18.5,0.309,4.242,776.7,42.019,1,4,6,528,1,310.575,,,,,,,,,,,,,,0,"steady_clock",0.4,4.336,"C-r2","18550a45121778c59998985f4b8d05924e572558","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/C/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:11:19.352Z,1crn-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,327,59.988,59.988,360,360,16.625,16.7,18,18.6,0.292,0.844,277.6,46.019,1,4,6,528,1,250.397,0.121,0.2,,,,,,,,0.049,0.066,0.024,0.032,0,"steady_clock",0.4,0.883,"C-r2","18550a45121778c59998985f4b8d05924e572558","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/C/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:11:30.388Z,1crn-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,327,59.993,0,360,360,16.623,16.7,17.9,18.4,0.297,0.838,264.7,42.019,1,4,6,528,1,225.542,,,,,,,,,,,,,,0,"steady_clock",0.5,0.874,"C-r2","18550a45121778c59998985f4b8d05924e572558","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/C/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:12:43.118Z,3j3q-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,2440800,39.005,39.005,392,392,25.54,25.3,27.3,31.3,23.518,23.689,53955.8,46.018,1,4,6,528,1,5171.331,1.692,1.9,,,,,,,,23.428,25.148,21.432,23.037,0,"steady_clock",25.2,25.984,"C-r2","18550a45121778c59998985f4b8d05924e572558","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/C/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:13:24.700Z,3j3q-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,2440800,59.986,0,600,600,16.635,16.7,17.8,18.5,0.027,17.266,15270,42.012,1,4,6,528,1,3262.497,,,,,,,,,,,,,,0,"steady_clock",0.1,19.071,"C-r2","18550a45121778c59998985f4b8d05924e572558","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/C/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:13:43.927Z,4hhb-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,4779,59.993,59.993,360,360,16.624,16.7,18.3,18.7,0.338,1.597,399.4,46.019,1,4,6,528,1,273.465,0.131,0.2,,,,,,,,0.081,0.123,0.031,0.05,0,"steady_clock",0.5,1.636,"C-r2","18550a45121778c59998985f4b8d05924e572558","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/C/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:13:55.026Z,4hhb-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,4779,60.154,0,361,361,16.618,16.7,18.3,18.6,0.278,1.601,295.2,42.019,1,4,6,528,1,232.079,,,,,,,,,,,,,,0,"steady_clock",0.4,1.633,"C-r2","18550a45121778c59998985f4b8d05924e572558","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/C/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:14:14.460Z,4v6x-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,237685,59.994,59.994,360,360,16.617,16.7,18.4,18.8,1.023,8.464,8652.9,46.019,1,4,6,528,1,1381.433,0.546,0.7,,,,,,,,0.84,1.003,0.2,0.261,0,"steady_clock",1.3,8.894,"C-r2","18550a45121778c59998985f4b8d05924e572558","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/C/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:14:25.327Z,4v6x-cpk-idle,0,1832,1010,2,idle,cpk,237685,59.97,0,240,0,16.603,16.7,18.2,18.5,0.043,0,2584.2,0.029,0,0,0,0,0,537.379,,,,,,,,,,,,,,0,"steady_clock",0.1,0,"C-r2","18550a45121778c59998985f4b8d05924e572558","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/C/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
