condition,ring,staging,structure,scenario,atoms,n,failed,update_fps_mean,update_fps_sd,render_fps_mean,render_fps_sd,frame_ms_mean_mean,frame_ms_mean_sd,frame_ms_p95_mean,frame_ms_p95_sd,cpu_ms_mean,cpu_ms_sd,gpu_ms_mean,gpu_ms_sd,crd_send_ms_mean,crd_send_ms_sd,crd_send_p95_ms_mean,crd_send_p95_ms_sd,tex_upload_ms_mean,tex_upload_ms_sd,tex_upload_p95_ms_mean,tex_upload_p95_ms_sd,crd_minus_tex_ms_mean,crd_minus_tex_ms_sd,alloc_mb_per_frame_mean,alloc_mb_per_frame_sd,tex_bytes_per_frame_mean,tex_bytes_per_frame_sd,rss_mb_mean,rss_mb_sd
A,0,0,1crn,coord-morph,327,3,0,59.992335,0.004508,59.992335,0.004508,16.621389,0.002406,18.233333,0.057735,0.312963,0.012809,0.837636,0.00389,0.07835,0.003167,0.111041,0.004709,0.024716,0.000985,0.032667,0.001041,0.053634,0.002181,0,0.0,12288,0.0,256.764587,0.13344
B,1,0,1crn,coord-morph,327,3,0,60.101436,0.103431,60.101436,0.103431,16.618482,0.002549,18.133333,0.11547,0.309885,0.007032,0.838612,0.006674,0.080092,0.003461,0.114166,0.007291,0.023974,0.001005,0.03218,0.001205,0.056118,0.002468,0,0.0,12288,0.0,256.458752,0.241351
C,0,1,1crn,coord-morph,327,3,0,59.979674,0.00723,59.979674,0.00723,16.621944,0.002469,18.1,0.1,0.2875,0.007238,0.839863,0.00707,0.048426,0.001526,0.067097,0.00436,0.023894,0.000136,0.032333,0.001121,0.024532,0.001471,0,0.0,12288,0.0,250.555051,0.139344
D,1,1,1crn,coord-morph,327,3,0,59.986005,0.013521,59.986005,0.013521,16.619537,0.003428,18.233333,0.11547,0.289815,0.012448,0.843899,0.002035,0.053445,0.00183,0.078944,0.001284,0.023858,0.000352,0.030986,0.000788,0.029587,0.001496,0,0.0,12288,0.0,250.576896,0.584567
A,0,0,4hhb,coord-morph,4779,3,0,60.041885,0.100652,60.041885,0.100652,16.619426,0.000251,18.233333,0.152753,0.34931,0.005894,1.587236,0.014451,0.122621,0.002423,0.178361,0.005622,0.028114,0.000957,0.037667,0.001834,0.094508,0.002982,0,0.0,61440,0.0,288.636928,0.809144
B,1,0,4hhb,coord-morph,4779,3,0,60.039547,0.098061,60.039547,0.098061,16.619426,0.004191,18.166667,0.057735,0.349306,0.007504,1.589141,0.003746,0.122989,0.005079,0.172278,0.008226,0.026765,0.000833,0.035708,0.000439,0.096225,0.004787,0,0.0,61440,0.0,288.189099,0.180472
C,0,1,4hhb,coord-morph,4779,3,0,59.990002,0.005194,59.990002,0.005194,16.621019,0.002262,18.2,0.1,0.334259,0.006817,1.590882,0.005444,0.08208,0.001932,0.124597,0.005086,0.030678,0.000517,0.046319,0.003402,0.051402,0.001967,0,0.0,61440,0.0,273.771179,0.27724
D,1,1,4hhb,coord-morph,4779,3,0,60.046888,0.101138,60.046888,0.101138,16.619706,0.003382,18.133333,0.11547,0.313144,0.018835,1.590709,0.006563,0.074404,0.004045,0.100833,0.00407,0.028504,0.00123,0.038014,0.002856,0.0459,0.002901,0,0.0,61440,0.0,273.896789,0.226036
A,0,0,1aon,coord-morph,58870,3,0,59.985671,0.010687,59.985671,0.010687,16.6175,0.002736,18.266667,0.057735,0.793704,0.018495,4.203609,0.007886,0.536153,0.016942,0.735431,0.015095,0.087854,0.002122,0.110153,0.003864,0.448298,0.016313,0,0.0,712704,0.0,613.034667,0.774278
B,1,0,1aon,coord-morph,58870,3,0,59.989002,0.006081,59.989002,0.006081,16.619537,0.000321,18.3,0.0,0.808796,0.011325,4.206102,0.000574,0.545604,0.007145,0.749889,0.007425,0.088061,0.002061,0.114153,0.004514,0.457543,0.005086,0,0.0,712704,0.0,610.735445,3.666223
C,0,1,1aon,coord-morph,58870,3,0,59.990668,0.002516,59.990668,0.002516,16.61963,0.004862,18.3,0.1,0.620556,0.007698,4.206805,0.004201,0.364872,0.004816,0.509292,0.006265,0.10326,0.001048,0.124819,0.004271,0.261612,0.005162,0,0.0,712704,0.0,547.138219,0.928892
D,1,1,1aon,coord-morph,58870,3,0,59.990002,0.004581,59.990002,0.004581,16.619167,0.003919,18.3,0.1,0.620926,0.024674,4.193933,0.01996,0.366437,0.015024,0.512194,0.009188,0.10297,0.003773,0.129417,0.008968,0.263468,0.011297,0,0.0,712704,0.0,547.094528,1.058893
