timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb
2026-09-21T09:28:18.220Z,1aon-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,58870,59.987,59.987,360,360,16.623,16.7,17.6,17.7,7.246,4.698,2265.5,46,1,4,6,528,1,607.732
2026-09-21T09:28:31.933Z,1aon-cpk-coord-morph,1,1832,1010,2,coord-morph,cpk,58870,59.998,59.998,360,360,16.622,16.7,17.6,17.7,7.309,4.683,2301.7,46,1,4,6,528,1,607.257
2026-09-21T09:28:45.767Z,1aon-cpk-coord-morph,2,1832,1010,2,coord-morph,cpk,58870,59.991,59.991,360,360,16.621,16.7,17.6,17.7,7.405,4.585,2343.6,46,1,4,6,528,1,607.601
2026-09-21T09:29:00.519Z,1aon-ribbon-coord-morph,0,1832,1010,2,coord-morph,ribbon,58870,2.208,2.208,14,14,420.25,450,467.5,467.5,440.043,4.758,2601.2,71,1,4,6,512,0,906.134
2026-09-21T09:29:33.790Z,1aon-ribbon-coord-morph,1,1832,1010,2,coord-morph,ribbon,58870,2.601,2.601,16,16,361.275,383.4,400,400,373.912,4.774,2217.2,71,1,4,6,512,0,908.984
2026-09-21T09:29:47.358Z,1aon-ribbon-coord-morph,2,1832,1010,2,coord-morph,ribbon,58870,2.541,2.541,16,16,367.706,383.5,416.7,416.7,380.85,4.737,2247,71,1,4,6,512,0,908.755
2026-09-21T09:29:58.690Z,1crn-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,327,59.992,59.992,360,360,16.62,16.7,17.7,17.8,0.286,0.786,279.2,46,1,4,6,528,1,256.557
2026-09-21T09:30:09.947Z,1crn-cpk-coord-morph,1,1832,1010,2,coord-morph,cpk,327,59.987,59.987,360,360,16.621,16.7,17.6,17.7,0.166,0.722,274.7,46,1,4,6,528,1,257.049
2026-09-21T09:30:21.202Z,1crn-cpk-coord-morph,2,1832,1010,2,coord-morph,cpk,327,59.986,59.986,360,360,16.621,16.7,17.7,17.9,0.388,0.801,274.5,46,1,4,6,528,1,256.033
2026-09-21T09:30:32.492Z,1crn-ribbon-coord-morph,0,1832,1010,2,coord-morph,ribbon,327,59.99,59.99,360,360,16.62,16.7,16.9,17.7,3.763,0.224,274.8,71,1,4,6,512,0,320.668
2026-09-21T09:30:43.756Z,1crn-ribbon-coord-morph,1,1832,1010,2,coord-morph,ribbon,327,60.121,60.121,361,361,16.62,16.7,16.8,17.7,3.856,0.257,276.1,71,1,4,6,512,0,319.652
2026-09-21T09:30:55.024Z,1crn-ribbon-coord-morph,2,1832,1010,2,coord-morph,ribbon,327,59.993,59.993,360,360,16.62,16.7,16.8,16.8,4.014,0.303,274.7,71,1,4,6,512,0,320.143
2026-09-21T09:31:06.386Z,4hhb-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,4779,59.995,59.995,360,360,16.621,16.7,17.3,17.6,1.515,1.577,394.8,46,1,4,6,528,1,287.392
2026-09-21T09:31:17.766Z,4hhb-cpk-coord-morph,1,1832,1010,2,coord-morph,cpk,4779,59.982,59.982,360,360,16.62,16.7,17.3,17.7,1.764,1.564,394.8,46,1,4,6,528,1,288.391
2026-09-21T09:31:29.131Z,4hhb-cpk-coord-morph,2,1832,1010,2,coord-morph,cpk,4779,59.99,59.99,360,360,16.618,16.7,17.3,17.6,1.436,1.556,393,46,1,4,6,528,1,287.031
2026-09-21T09:31:40.554Z,4hhb-ribbon-coord-morph,0,1832,1010,2,coord-morph,ribbon,4779,37.6,37.6,227,227,26.471,26.3,28.7,29.6,25.842,0.627,394.6,71,1,4,6,512,0,561.594
2026-09-21T09:31:51.938Z,4hhb-ribbon-coord-morph,1,1832,1010,2,coord-morph,ribbon,4779,38.406,38.406,231,231,25.926,25.7,28.1,29.5,25.237,0.621,394.9,71,1,4,6,512,0,578.241
2026-09-21T09:32:03.356Z,4hhb-ribbon-coord-morph,2,1832,1010,2,coord-morph,ribbon,4779,38.379,38.379,231,231,25.943,25.8,28,28.7,25.249,0.618,401.7,71,1,4,6,512,0,542.294
2026-09-21T09:32:22.921Z,4v6x-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,237685,24.948,24.948,150,150,39.819,39.8,42.2,47.4,25.987,6.403,8569.9,46,1,4,6,528,1,1384.89
2026-09-21T09:32:42.549Z,4v6x-cpk-coord-morph,1,1832,1010,2,coord-morph,cpk,237685,24.974,24.974,150,150,39.776,39.7,41.3,44.3,25.989,6.355,8575.5,46,1,4,6,528,1,1384.792
