timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb,update_ms_mean,update_ms_p95,traj_frames,traj_format,traj_lazy,gpu,gl_version,platform
2026-09-24T08:25:32.372Z,ifabp-cpk-md-playback,0,1832,1010,2,md-playback,cpk,12445,59.994,59.994,360,360,16.621,16.7,17.3,17.7,0.425,2.06,309.1,46.019,1,4,6,528,1,380.469,0.724,1.6,500,dcd,true,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T08:25:43.479Z,ifabp-cpk-md-playback,1,1832,1010,2,md-playback,cpk,12445,59.981,59.981,360,360,16.621,16.7,17.7,17.9,0.439,2.06,306.7,46.019,1,4,6,528,1,380.764,0.543,0.7,500,dcd,true,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T08:25:54.599Z,ifabp-cpk-md-playback,2,1832,1010,2,md-playback,cpk,12445,59.98,59.98,360,360,16.621,16.7,17.4,17.7,0.457,2.069,308.3,46.019,1,4,6,528,1,380.961,0.534,0.7,500,dcd,true,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T08:26:07.564Z,mcv448-cpk-md-playback,0,1832,1010,2,md-playback,cpk,161188,59.979,59.979,360,360,16.621,16.7,17,17.6,0.909,6.387,2124.6,46.019,1,4,6,528,1,1089.225,2.204,4.4,300,xtc,true,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T08:26:20.473Z,mcv448-cpk-md-playback,1,1832,1010,2,md-playback,cpk,161188,59.991,59.991,360,360,16.621,16.7,17.2,17.6,0.854,6.418,2056.7,46.019,1,4,6,528,1,1091.666,2.228,4.3,300,xtc,true,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T08:26:33.341Z,mcv448-cpk-md-playback,2,1832,1010,2,md-playback,cpk,161188,59.985,59.985,360,360,16.62,16.7,17.1,17.6,0.915,6.369,2053.2,46.019,1,4,6,528,1,1095.418,2.168,4.3,300,xtc,true,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T08:26:46.494Z,yiip-cpk-md-playback-eager,0,1832,1010,2,md-playback,cpk,111815,59.99,59.99,360,360,16.621,16.7,17.3,17.7,1.024,7.736,2328.7,46.019,1,4,6,528,1,1662.829,0.377,0.5,901,xtc,false,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T08:26:59.655Z,yiip-cpk-md-playback-eager,1,1832,1010,2,md-playback,cpk,111815,60.139,60.139,361,361,16.621,16.7,17.7,17.8,1.064,7.782,2303.4,46.019,1,4,6,528,1,1665.679,0.262,0.4,901,xtc,false,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T08:27:12.803Z,yiip-cpk-md-playback-eager,2,1832,1010,2,md-playback,cpk,111815,59.989,59.989,360,360,16.623,16.7,17.7,17.9,1.028,7.729,2299.7,46.019,1,4,6,528,1,1670.939,0.245,0.4,901,xtc,false,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T08:27:24.673Z,yiip-cpk-md-playback,0,1832,1010,2,md-playback,cpk,111815,59.995,59.995,360,360,16.621,16.7,17.6,17.7,0.472,8.205,1038.8,46.019,1,4,6,528,1,1103.348,3.323,3.7,901,xtc,true,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
