timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb,update_ms_mean,update_ms_p95,traj_frames,traj_format,traj_lazy,update_first_ms_mean,update_first_n,update_cached_ms_mean,update_cached_n,gpu,gl_version,platform
2026-09-24T09:16:22.716Z,ifabp-cpk-md-playback,0,1832,1010,2,md-playback,cpk,12445,59.989,59.989,360,360,16.622,16.7,17.4,17.6,0.371,2.062,310.8,46.019,1,4,6,528,1,344.785,0.728,1.6,500,dcd,true,0.728,360,,0,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T09:16:33.849Z,ifabp-cpk-md-playback,1,1832,1010,2,md-playback,cpk,12445,59.995,59.995,360,360,16.621,16.7,17.4,17.8,0.389,2.058,309.5,46.019,1,4,6,528,1,347.423,0.526,0.8,500,dcd,true,0.526,360,,0,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T09:16:44.973Z,ifabp-cpk-md-playback,2,1832,1010,2,md-playback,cpk,12445,59.984,59.984,360,360,16.622,16.7,17.5,17.9,0.401,2.064,308.7,46.019,1,4,6,528,1,347.472,0.528,0.8,500,dcd,true,0.528,360,,0,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T09:16:57.895Z,mcv448-cpk-md-playback,0,1832,1010,2,md-playback,cpk,161188,59.982,59.982,360,360,16.621,16.7,17.2,17.6,0.545,6.239,2093.3,46.019,1,4,6,528,1,1047.085,2.326,4.6,300,xtc,true,4.26,179,0.413,181,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T09:17:10.809Z,mcv448-cpk-md-playback,1,1832,1010,2,md-playback,cpk,161188,59.989,59.989,360,360,16.621,16.7,17.1,17.5,0.558,6.228,2064.2,46.019,1,4,6,528,1,1046.462,2.253,4.3,300,xtc,true,4.141,179,0.386,181,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T09:17:23.689Z,mcv448-cpk-md-playback,2,1832,1010,2,md-playback,cpk,161188,59.985,59.985,360,360,16.619,16.7,17.1,17.5,0.534,6.213,2055.8,46.019,1,4,6,528,1,1046.97,2.265,4.3,300,xtc,true,4.198,179,0.352,181,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T09:17:36.865Z,yiip-cpk-md-playback-eager,0,1832,1010,2,md-playback,cpk,111815,59.994,59.994,360,360,16.621,16.7,17.3,17.6,0.684,7.748,2361.6,46.019,1,4,6,528,1,1647.395,0.388,0.6,901,xtc,false,0.388,360,,0,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T09:17:50.035Z,yiip-cpk-md-playback-eager,1,1832,1010,2,md-playback,cpk,111815,59.996,59.996,360,360,16.622,16.7,17.4,17.9,0.736,7.745,2300,46.019,1,4,6,528,1,1650.491,0.316,0.5,901,xtc,false,0.316,360,,0,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T09:18:03.178Z,yiip-cpk-md-playback-eager,2,1832,1010,2,md-playback,cpk,111815,59.988,59.988,360,360,16.621,16.7,17.3,17.6,0.719,7.734,2298.5,46.019,1,4,6,528,1,1649.443,0.265,0.4,901,xtc,false,0.265,360,,0,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T09:18:15.057Z,yiip-cpk-md-playback,0,1832,1010,2,md-playback,cpk,111815,59.987,59.987,360,360,16.62,16.7,16.8,17.3,0.299,7.676,1025.4,46.019,1,4,6,528,1,1092.895,3.453,3.9,901,xtc,true,3.453,360,,0,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
