tool,spec,rep,order,ok,error,canvas_w,canvas_h,dpr,atoms,traj_frames,traj_lazy,render_fps,update_fps,frame_ms_mean,frame_ms_p95,first_draw_ms,load_ms,ws_peak_mb,ws_loaded_mb,ws_measure_peak_mb,private_peak_mb,ws_peak_renderer_mb,ws_peak_gpu_mb,ws_peak_browser_mb,upload_bytes_per_frame,upload_bytes_per_update,wall_ms,pagefile_before_mb,pagefile_after_mb,gpu
cuemol,yiip-md-eager,0,1,1,,1832,1010,2,111815,901,false,59.99,59.99,16.618,17.4,1522,1661.6,1923.75,1888.359,1923.25,0,1573.359,123.781,182.609,1352208,1352208,10674,5913,5913,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4nosol-md,0,2,1,,1832,1010,2,348642,100,true,59.99,59.99,16.62,17.3,1496.8,1504.1,1526.469,1153.844,1526.469,0,1119.688,193.625,169.266,4190736,4190736,10302,5913,5913,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
molstar,yiip-300f-md,0,3,1,,1832,1010,2,111815,300,,59.992,39.495,16.62,16.8,1822.9,1822.9,1519.469,1490.453,1519.266,0,1041.688,115.156,318.719,1180913.067,1793792,10464,5913,5913,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
molstar,a4all-md,0,4,1,,1832,1010,2,3940938,100,,8.155,4.078,122.494,247.9,25540.5,25540.5,8794.828,8794.828,5597.375,0,6908.125,220.922,1628.359,30293053.44,60586106.88,34842,5913,6139.56,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
molstar,yiip-100f-md,0,5,1,,1832,1010,2,111815,100,,59.974,40.649,16.621,16.8,809.1,809.1,975.484,930.125,974.578,0,549.047,113.469,269.203,1210809.6,1786440.393,9599,6139.56,6139.56,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
molstar,a4all-25f-md,0,6,1,,1832,1010,2,3940938,25,,10.472,5.319,95.433,177,8767.3,8767.3,4325.734,4277.984,4325.734,0,3216.234,320.172,745.422,31054386.794,61138324,17935,6139.56,6139.56,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4nosol-25f-md,0,7,1,,1832,1010,2,348642,25,true,59.987,59.987,16.62,17.5,1494.4,1494.5,1220.484,1186.391,1220.484,0,814.125,192.891,169.563,4190736,4190736,10420,6139.56,6139.56,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
molstar,a4nosol-25f-md,0,8,1,,1832,1010,2,348642,25,,31.803,31.803,31.272,33.4,983.4,983.4,1046.172,958.281,1043.016,0,592.484,144.188,265.688,5623808,5623808,9777,6139.56,6139.56,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-25f-md,0,9,1,,1832,1010,2,3940938,25,true,25.823,25.823,38.452,41.6,14909.2,14909.8,7437.703,7359.25,7106.563,0,6198.469,1038.203,160.656,47297040,47297040,23870,6139.56,6139.56,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4nosol-md-eager,0,10,1,,1832,1010,2,348642,100,false,59.984,59.984,16.621,17.7,1824.3,1830.3,1478.266,1464.141,1478.266,0,1072.172,192.906,169.281,4190736,4190736,10666,6139.56,6139.56,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-md,0,11,1,,1832,1010,2,3940938,100,true,23.559,23.559,42.147,52.7,14840.3,14840.5,7686.641,7329.781,6011,0,6468.094,1031.438,148.422,47297040,47297040,23948,6139.56,6139.56,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,yiip-100f-md,0,12,1,,1832,1010,2,111815,100,true,59.983,59.983,16.621,17.6,627.3,772.7,865.156,732.594,865.156,0,529.031,123.047,169.156,1352208,1352208,9610,6139.56,6139.56,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
molstar,ifabp-md,0,13,1,,1832,1010,2,12445,500,,59.988,39.492,16.621,18,186.5,186.5,900.172,881.016,899.922,0,455.906,112.234,288.297,131740.444,200112.068,8880,6139.56,6139.56,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
molstar,a4nosol-md,0,14,1,,1832,1010,2,348642,100,,21.748,21.748,45.647,49.8,2262.6,2262.6,1725.094,1658.094,1721.313,0,1199.75,142.469,339.016,5623808,5623808,11043,6139.56,6139.56,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
