tool,spec,rep,order,ok,error,canvas_w,canvas_h,dpr,atoms,traj_frames,traj_lazy,render_fps,update_fps,frame_ms_mean,frame_ms_p95,first_draw_ms,load_ms,ws_peak_mb,ws_loaded_mb,ws_measure_peak_mb,private_peak_mb,ws_peak_renderer_mb,ws_peak_gpu_mb,ws_peak_browser_mb,upload_bytes_per_frame,upload_bytes_per_update,wall_ms,pagefile_before_mb,pagefile_after_mb,gpu
cuemol,a4all-md-loadsel,0,1,1,,1832,1010,2,348642,100,true,59.986,59.986,16.62,17.7,10479.1,10479.7,4185.266,3804.922,4185.266,0,3777.313,194.234,169.703,4190736,4190736,19972,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-25f-md,0,2,1,,1832,1010,2,3940938,25,true,25.869,25.869,38.414,40.4,14388.7,14389.1,5738.391,5605.516,4298.5,0,4514.016,1034.328,151.594,47297040,47297040,23433,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-50f-md,0,3,1,,1832,1010,2,3940938,50,true,25.254,25.254,39.33,41.8,14102.9,14103.2,6194.375,5605.438,4777.813,0,4938.203,1042.484,169.672,47297040,47297040,23157,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-md,0,4,1,,1832,1010,2,3940938,100,true,23.978,23.978,41.409,53.8,14118,14118.3,6198.609,5493.109,4940.953,0,4966.344,1035.219,155.547,47297040,47297040,23108,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-25f-md,1,5,1,,1832,1010,2,3940938,25,true,26.056,26.056,38.139,39.8,14093.6,14094.1,6337.813,5492.297,5948,0,5086.391,1042.734,164.719,47297040,47297040,23021,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-md-loadsel,1,6,1,,1832,1010,2,348642,100,true,60.138,60.138,16.615,18.4,10380.2,10392.9,4178.125,3779.969,4178.125,0,3777.359,191.969,164.781,4190736,4190736,19231,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-50f-md,1,7,1,,1832,1010,2,3940938,50,true,25.471,25.471,39.076,43.2,13804.3,13804.8,7183.719,5599.703,6808.578,0,5932.094,1042.766,165.031,47297040,47297040,22710,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-md,1,8,1,,1832,1010,2,3940938,100,true,23.942,23.942,41.467,51.9,14195.9,14196.4,7321.719,5508.063,7208.172,0,6070.219,1042.656,164.813,47297040,47297040,23131,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-md-loadsel,2,9,1,,1832,1010,2,348642,100,true,59.99,59.99,16.619,18.4,10693,10693.4,4178.344,3836.953,4178.344,0,3777.016,192.531,164.797,4190736,4190736,19539,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-md,2,10,1,,1832,1010,2,3940938,100,true,24.211,24.211,41.008,44.3,14178,14178.3,5971.656,5554.125,4873.063,0,4724.984,1042.188,160.469,47297040,47297040,23161,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-50f-md,2,11,1,,1832,1010,2,3940938,50,true,25.358,25.358,39.15,43.7,13890.8,13891,6890.063,5554.234,6329.906,0,5638.266,1042.969,164.828,47297040,47297040,22876,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,a4all-25f-md,2,12,1,,1832,1010,2,3940938,25,true,26.113,26.113,38.054,39.9,14157.2,14157.4,6473.484,5507.563,5948.688,0,5222.109,1042.484,164.891,47297040,47297040,23058,6302.75,6302.75,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
