tool,spec,rep,order,ok,error,canvas_w,canvas_h,dpr,atoms,traj_frames,traj_lazy,render_fps,update_fps,frame_ms_mean,frame_ms_p95,first_draw_ms,load_ms,ws_peak_mb,ws_loaded_mb,ws_measure_peak_mb,private_peak_mb,ws_peak_renderer_mb,ws_peak_gpu_mb,ws_peak_browser_mb,upload_bytes_per_frame,upload_bytes_per_update,wall_ms,pagefile_before_mb,pagefile_after_mb,gpu
cuemol,yiip-idle,0,1,1,,1832,1010,1,111815,,,60.093,0,16.621,17.2,509,603.1,609.508,608.133,609.203,526.645,329.703,131.754,99.754,0,,9253,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
cuemol,a4all-md-loadsel,0,2,1,,1832,1010,1,348642,100,true,59.994,59.994,16.62,17.2,15184.3,15174.8,6064.852,1771.172,2121.68,6107.117,5818.777,98.391,99.402,4190736,4190736,24588,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
cuemol,a4nosol-50f-md,0,3,1,,300,150,1,348642,50,true,60.087,60.087,16.621,17.3,1915.8,1916,1303.215,1105.621,1303.215,1176.863,942.027,213.676,99.363,4190736,4190736,11280,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
cuemol,a4nosol-md,0,4,1,,300,150,1,348642,100,true,59.997,59.997,16.621,16.8,1945.9,1946.1,1504.078,1159.715,1504.078,1376.859,1140.23,213.441,102.133,4190736,4190736,10685,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
molstar,a4nosol-md,0,5,1,,1832,1010,1,348642,100,,43.242,43.242,23.041,25,2436.5,2436.5,1485.199,1370.133,1484.504,1547.863,1014.609,151.402,274.754,5623808,5623808,10961,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
molstar,yiip-300f-md,0,6,1,,1832,1010,1,111815,300,,59.995,40.663,16.621,17.3,1864.9,1864.9,1245.176,1224.59,1244.762,1301.77,852.027,116.574,231.723,1210809.6,1786440.393,10343,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
cuemol,a4all-md,0,7,1,,1832,1010,1,3940938,100,true,37.395,37.395,26.613,32.8,16840.5,16841.3,10483.016,8924.117,10483.016,11233.785,9564.32,769.492,100.938,47297040,47297040,33515,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
molstar,a4all-25f-md,0,8,1,,1832,1010,1,3940938,25,,16.011,8.005,62.392,120.8,8757,8757,3892.105,3826.988,3872.184,3958.848,2813.75,384.004,649.285,30911279.02,61822558.041,17456,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
molstar,a4all-md,0,9,1,,1832,1010,1,3940938,100,,16.041,8.021,62.274,120.6,29933.4,29933.4,10486.711,10372.898,10486.711,10569.027,8352.078,363.496,1726.047,30911279.02,61822558.041,38692,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
cuemol,a4all-25f-md,0,10,1,,1832,1010,1,3940938,25,true,47.565,47.565,20.965,33,16634.5,16634.9,9791.598,9033.23,8911.855,10565.59,8510.816,1131.711,100.695,47297040,47297040,25339,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
